DESNAN,CIIUR3,TNT,DESACT,CODACT,NANDINA,PUREZA,MINERAL,UNIDAD,MINERAL RES,TIPO_MINERAL,REFINADOS,INE,RESUMEN,ANIO
"LAS DEMAS CHAPAS Y TIRAS,DE ALEACIONES DE COBRE-ESTAÑO (BRONCE)",2720,34,Otros Metales Manufacturados,D24,7409390000,M,A  SN CU,K.F.,ALEACIONES DE COBRE-ESTAÐO (BRONCE),METALICOS,ALEACIONES,,OTROS,2018-2019
"LOS DEMAS,ALAMBRE DE ALEACIONES DE COBRE",2720,34,Otros Metales Manufacturados,D24,7408290000,M,A  SN CU,K.F.,ALEACIONES DE COBRE-ESTAÐO (BRONCE),METALICOS,ALEACIONES,,OTROS,2018-2019
LAS DEMAS BARRAS Y PERFILES DE ALEACIONES DE COBRE,2720,34,Otros Metales Manufacturados,D24,7407290000,M,A  SN CU,K.F.,ALEACION ESTAÑO COBRE,METALICOS,ALEACIONES,,OTROS,2010
"LOS DEMAS PLOMO EN BRUTO,CON ANTIMONIO COMO EL OTRO ELEMENTO PREDOMINANTE EN PESO",2720,6,Barras de Plomo,D21,7801910000,M,A PB SB,K.F.,ALEACIONES DE PLOMO-ANTIMONIO,METALICOS,ALEACIONES,,OTROS,2012
"BARRAS, PERFILES Y ALAMBRE DE PLOMO",2720,30,Otros Metales Manufacturados,D24,7806002000,M,A SN PB,K.F.,ALEACIONES DE ESTAÑO PLOMO,METALICOS,ALEACIONES,,OTROS,2018-2019
"LOS DEMAS,TUBOS,PLACAS,ELECTRODOS Y ART.SIMIL.D/METAL COMUN O CARBURO METALICO,RECUBIERTOS O RELLENOS DE DECAPANTES O DE FUNDENTES PARA SOLDADURA O DEPOSITO DE METAL O CARBURO METALICO,INCL.SUS PARTES",2899,34,Otros Metales Manufacturados,D24,8311900000,M,A SN PB,K.F.,ALEACIONES DE ESTAÑO-PLOMO,METALICOS,ALEACIONES,,OTROS,2018-2019
"BARRAS Y ALAMBRES DE ESTAÑO ALEADO,PARA SOLDADURA",2720,2,Estaño Metálico,D17,8003001000,M,A SN SB,K.F.,A SN SB,METALICOS,ALEACIONES,,OTROS,2018-2019
ACIDO ORTOBORICO,2411,34,Acido Ortoborico,D32,2810001000,C,ACIDO BORICO ,K.N.,ACIDO BORICO ,NO METALICO,,,OTROS,2018-2019
"LAS DEMAS PIEDRAS PRECIOSAS Y SEMIPRECIOSAS NATURALES,EXCEPTO LOS DIAMANTES,INCL.TRABAJADAS O CLASIFICADAS,SIN ENSARTAR,MONTAR NI ENGARZAR,O ENSARTADOS TEMPORALMENTE PARA FACILITAR EL TRANSPORTE",1429,30,Piedras Preciosas y Semipreciosas Naturales,C14,7103109000,C,AMATISTA,K.N.,AMATISTA,NO METALICO,,,OTROS,2018-2019
ESMERALDAS EN BRUTO O SIMPLEMENTE ASERRADAS O DESBASTADAS,1429,34,Otras Minas y Canteras,C11,7103101000,C,AMATISTA,K.N.,AMATISTA,NO METALICO,,,OTROS,2010
LAS DEMAS PIEDRAS PRECIOSAS O SEMIPRECIOSAS  EN BRUTO O SIMPLEMENTE ASERRADA O DESBASTADA,1429,30,,C14,7103109090,C,AMATISTA,K.N.,AMATISTA,NO METALICO,,,OTROS,2011
"AMETRINO (BOLIVIANITA), TRABAJADA DE OTRO MODO",3691,30,Ametrino Bolivianita Tallado,D241,7103991000,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2018-2019
"LOS DEMAS RUBIES,ZAFIROS Y ESMERALDAS,TRABAJADAS DE OTRO MODO",3691,30,Otros Metales Manufacturados,D24,7103990000,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2010
AMETRINO BOLIVIANITA EN BRUTO O SIMPLEMENTE ASERRADA O DESBASTADA,1429,30,,C14,7103109010,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2011
AMETRINO BOLIVIANITA TRABAJADAS DE OTRO MODO,3691,30,,D24,7103990010,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2011
LAS DEMAS PIEDRAS PRECIOSAS O SEMIPRECIOSAS TRABAJADAS DE OTRO MODO,3691,30,,D24,7103990090,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2011
"LAS DEMAS PIEDRAS PRECIOSAS (EXCEPTO LOS DIAMANTES) O SEMIPRECIOSAS, NATURALES, TRABAJADAS DE OTRO MODO",3691,30,Otros Metales Manufacturados,D24,7103999000,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2012
AMETRINO (BOLIVIANITA) EN BRUTO O SIMPLEMENTE ASERRADAS O DESBASTADAS,1429,30,Piedras Preciosas y Semipreciosas Naturales,C14,7103102000,C,AMETRINO,K.N.,AMETRINO,NO METALICO,,,OTROS,2015
MINERALES DE ANTIMONIO Y SUS CONCENTRADOS,1320,5,Mineral de Antimonio,C6,2617100000,C,ANTIMONIO,K.N.,ANTIMONIO,CONCENTRADO,,ANTIMONIO,ANTIMONIO,2018-2019
